,channel,position,unit
0,0,4094,[8]
1,0,4221,[32]
2,0,4767,[8]
3,0,5904,[1]
4,0,6444,[43]
5,0,6581,[1]
6,0,6773,[37]
7,0,7070,[43]
8,0,7986,[22]
9,0,8110,[1]
10,0,8591,[30]
11,0,8694,[37]
12,0,8852,[22]
13,0,8998,[37]
14,0,9201,[43]
15,0,9452,[25]
16,0,9636,[22]
17,0,9750,[1]
18,0,9828,[6]
19,0,9907,[8]
20,0,9993,[22]
21,0,10102,[43]
22,0,10304,[21]
23,0,10585,[21]
24,0,10616,[22]
25,0,11295,[1]
26,0,11370,[32]
27,0,11387,[43]
28,0,11468,[8]
29,0,11572,[20]
30,0,11928,[20]
31,0,12379,[42]
32,0,12492,[22]
33,0,12628,[8]
34,0,12812,[22]
35,0,12911,[42]
36,0,13073,[15]
37,0,13177,[8]
38,0,13375,[15]
39,0,13404,[37]
40,0,13715,[1]
41,0,13911,[43]
42,0,14034,[11]
43,0,14058,[37]
44,0,14333,[43]
45,0,14499,[8]
46,0,14674,[17]
47,0,14708,[43]
48,0,14800,[44]
49,0,14841,[37]
50,0,14921,[8]
51,0,14985,[20]
52,0,15059,[6]
53,0,15154,[44]
54,0,15188,[20]
55,0,15399,[33]
56,0,15477,[17]
57,0,15489,[1]
58,0,15603,[30]
59,0,15733,[6]
60,0,15843,[43]
61,0,15933,[37]
62,0,15963,[12]
63,0,16108,[2]
64,0,16196,[2]
65,0,16243,[30]
66,0,16335,[18]
67,0,16452,[44]
68,0,16504,[1]
69,0,16517,[33]
70,0,16569,[18]
71,0,16776,[20]
72,0,16801,[37]
73,0,16850,[8]
74,0,16900,[12]
75,0,16937,[44]
76,0,17109,[12]
77,0,17168,[22]
78,0,17299,[44]
79,0,17312,[18]
80,0,17408,[2]
81,0,17583,[15]
82,0,17711,[9]
83,0,17751,[8]
84,0,17823,[17]
85,0,17837,[48]
86,0,18043,[30]
87,0,18090,[21]
88,0,18125,[47]
89,0,18176,[1]
90,0,18203,[17]
91,0,18295,[8]
92,0,18393,[30]
93,0,18471,[21]
94,0,18519,[21]
95,0,18758,[21]
96,0,18876,[4]
97,0,18890,[25]
98,0,18989,[9]
99,0,19031,[18]
100,0,19244,[17]
101,0,19305,[17]
102,0,19327,[1]
103,0,19393,[48]
104,0,19411,[20]
105,0,19531,[2]
106,0,19601,[34]
107,0,19643,[17]
108,0,19685,[1]
109,0,19701,[43]
110,0,19786,[21]
111,0,19840,[9]
112,0,19863,[22]
113,0,19925,[5]
114,0,19959,[17]
115,0,19974,[8]
116,0,20139,[37]
117,0,20169,[45]
118,0,20217,[4]
119,0,20282,[15]
120,0,20307,[22]
121,0,20515,[17]
122,0,20744,[15]
123,0,20813,[33]
124,0,20848,[21]
125,0,21040,[20]
126,0,21067,[37]
127,0,21272,[8]
128,0,21301,[22]
129,0,21408,[6]
130,0,21432,[22]
131,0,21466,[9]
132,0,21523,[21]
133,0,21621,[9]
134,0,21654,[42]
135,0,21710,[32]
136,0,21727,[43]
137,0,21786,[20]
138,0,21847,[1]
139,0,21922,[12]
140,0,21959,[32]
141,0,21976,[9]
142,0,22070,[6]
143,0,22176,[15]
144,0,22267,[30]
145,0,22279,[22]
146,0,22369,[0]
147,0,22448,[8]
148,0,22472,[6]
149,0,22563,[37]
150,0,22606,[22]
151,0,22685,[32]
152,0,22705,[43]
153,0,22744,[44]
154,0,22811,[34]
155,0,22868,[6]
156,0,22926,[37]
157,0,23069,[2]
158,0,23102,[1]
159,0,23180,[13]
160,0,23208,[37]
161,0,23302,[2]
162,0,23376,[28]
163,0,23396,[22]
164,0,23493,[32]
165,0,23554,[8]
166,0,23599,[30]
167,0,23684,[20]
168,0,23712,[42]
169,0,23755,[5]
170,0,23809,[22]
171,0,23853,[9]
172,0,23935,[8]
173,0,23993,[30]
174,0,24116,[11]
175,0,24143,[22]
176,0,24158,[18]
177,0,24259,[47]
178,0,24302,[1]
179,0,24400,[1]
180,0,24439,[29]
181,0,24463,[6]
182,0,24565,[22]
183,0,24628,[47]
184,0,24716,[17]
185,0,24733,[13]
186,0,24819,[10]
187,0,24879,[15]
188,0,24918,[9]
189,0,24970,[43]
190,0,25028,[17]
191,0,25099,[21]
192,0,25188,[2]
193,0,25228,[30]
194,0,25270,[8]
195,0,25370,[6]
196,0,25411,[9]
197,0,25442,[37]
198,0,25515,[47]
199,0,25620,[1]
200,0,25664,[30]
201,0,25761,[30]
202,0,25805,[20]
203,0,25827,[32]
204,0,25983,[17]
205,0,26002,[30]
206,0,26086,[6]
207,0,26109,[37]
208,0,26196,[42]
209,0,26239,[17]
210,0,26377,[37]
211,0,26402,[22]
212,0,26438,[1]
213,0,26498,[8]
214,0,26532,[18]
215,0,26666,[44]
216,0,26684,[13]
217,0,26773,[4]
218,0,26784,[13]
219,0,26845,[30]
220,0,26903,[15]
