,channel,position,unit
0,0,140,[2]
1,0,233,[19]
2,0,278,[11]
3,0,339,[5]
4,0,389,[41]
5,0,448,[37]
6,0,490,[9]
7,0,597,[20]
8,0,673,[14]
9,0,734,[14]
10,0,772,[16]
11,0,833,[29]
12,0,892,[32]
13,0,1058,[10]
14,0,1098,[34]
15,0,1189,[14]
16,0,1325,[20]
17,0,1341,[30]
18,0,1389,[39]
19,0,1448,[23]
20,0,1496,[42]
21,0,1627,[36]
22,0,1656,[27]
23,0,1771,[39]
24,0,1793,[20]
25,0,1909,[14]
26,0,1937,[5]
27,0,2076,[40]
28,0,2193,[16]
29,0,2214,[26]
30,0,2276,[24]
31,0,2404,[1]
32,0,2465,[44]
33,0,2476,[5]
34,0,2533,[32]
35,0,2549,[41]
36,0,2615,[9]
37,0,2666,[39]
38,0,2692,[19]
39,0,2721,[7]
40,0,2808,[17]
41,0,2905,[37]
42,0,2972,[7]
43,0,3060,[23]
44,0,3106,[42]
45,0,3214,[23]
46,0,3318,[26]
47,0,3421,[29]
48,0,3484,[15]
49,0,3554,[21]
50,0,3739,[21]
51,0,3787,[44]
52,0,3861,[2]
53,0,3892,[34]
54,0,4013,[9]
55,0,4119,[40]
56,0,4137,[19]
57,0,4161,[23]
58,0,4275,[14]
59,0,4307,[46]
60,0,4388,[8]
61,0,4408,[5]
62,0,4439,[4]
63,0,4517,[47]
64,0,4637,[7]
65,0,4677,[21]
66,0,4765,[35]
67,0,4817,[42]
68,0,4995,[45]
69,0,5344,[35]
70,0,5371,[38]
71,0,5416,[22]
72,0,5473,[4]
73,0,5519,[8]
74,0,5611,[14]
75,0,5628,[18]
76,0,5664,[34]
77,0,5774,[27]
78,0,5883,[11]
79,0,5909,[37]
80,0,5966,[44]
81,0,6016,[31]
82,0,6170,[32]
83,0,6192,[16]
84,0,6273,[23]
85,0,6395,[46]
86,0,6517,[10]
87,0,6647,[28]
88,0,6667,[19]
89,0,6693,[27]
90,0,6740,[4]
91,0,6770,[27]
92,0,6800,[34]
93,0,6914,[27]
94,0,7011,[27]
95,0,7050,[33]
96,0,7189,[47]
97,0,7418,[40]
98,0,7471,[6]
99,0,7575,[43]
100,0,7633,[43]
101,0,7716,[5]
102,0,7821,[34]
103,0,7948,[27]
104,0,7978,[7]
105,0,8212,[27]
106,0,8264,[25]
107,0,8279,[11]
108,0,8299,[11]
109,0,8327,[37]
110,0,8372,[40]
111,0,8465,[38]
112,0,8495,[46]
113,0,8627,[6]
114,0,8675,[21]
115,0,8758,[48]
116,0,8814,[36]
117,0,8870,[25]
118,0,8951,[19]
119,0,9004,[39]
120,0,9263,[36]
121,0,9302,[4]
122,0,9375,[29]
123,0,9454,[7]
124,0,9646,[33]
125,0,9735,[24]
126,0,9797,[8]
127,0,9820,[35]
128,0,9868,[35]
129,0,9942,[15]
130,0,10031,[35]
131,0,10276,[42]
132,0,10416,[48]
133,0,10437,[12]
134,0,10539,[13]
135,0,10566,[46]
136,0,10627,[45]
137,0,10693,[45]
138,0,10828,[45]
139,0,10885,[40]
140,0,10946,[0]
141,0,11036,[28]
142,0,11052,[13]
143,0,11126,[37]
144,0,11200,[10]
145,0,11288,[26]
146,0,11334,[44]
147,0,11533,[37]
148,0,11585,[20]
149,0,11665,[42]
150,0,11762,[2]
151,0,11875,[12]
152,0,11949,[16]
153,0,12008,[33]
154,0,12079,[47]
155,0,12102,[18]
156,0,12201,[15]
157,0,12230,[27]
158,0,12285,[9]
159,0,12321,[9]
160,0,12375,[11]
161,0,12399,[42]
162,0,12456,[32]
163,0,12678,[42]
164,0,12829,[31]
165,0,12902,[34]
166,0,12963,[23]
167,0,13065,[28]
168,0,13085,[45]
169,0,13281,[25]
170,0,13430,[42]
171,0,13447,[46]
172,0,13507,[32]
173,0,13545,[5]
174,0,13729,[15]
175,0,13757,[7]
176,0,13903,[35]
177,0,13926,[42]
178,0,13981,[48]
179,0,13997,[18]
180,0,14021,[5]
181,0,14146,[25]
182,0,14278,[33]
183,0,14400,[23]
184,0,14470,[21]
185,0,14518,[41]
186,0,14614,[2]
187,0,14742,[18]
188,0,14764,[35]
189,0,14831,[4]
190,0,14872,[4]
191,0,14942,[10]
192,0,14974,[27]
193,0,15059,[0]
194,0,15121,[27]
195,0,15222,[3]
196,0,15324,[39]
197,0,15348,[27]
198,0,15564,[14]
199,0,15653,[9]
200,0,15709,[20]
201,0,15942,[26]
202,0,16089,[41]
203,0,16277,[1]
204,0,16331,[45]
205,0,16405,[45]
206,0,16479,[22]
207,0,16636,[20]
208,0,16737,[28]
209,0,16761,[7]
210,0,16796,[4]
211,0,16893,[0]
212,0,16930,[28]
213,0,17241,[19]
214,0,17261,[0]
215,0,17358,[3]
216,0,17492,[42]
217,0,17615,[30]
218,0,17657,[46]
219,0,17710,[20]
220,0,17731,[15]
221,0,17769,[25]
222,0,17840,[45]
223,0,17875,[15]
224,0,17942,[4]
225,0,18064,[24]
226,0,18299,[24]
227,0,18440,[29]
228,0,18495,[31]
229,0,18609,[21]
230,0,18658,[15]
231,0,18830,[48]
232,0,18947,[1]
233,0,19118,[32]
234,0,19217,[26]
235,0,19315,[21]
236,0,19370,[12]
237,0,19451,[34]
238,0,19467,[44]
239,0,19562,[24]
240,0,19599,[47]
241,0,19680,[16]
242,0,19885,[9]
243,0,19928,[9]
244,0,19985,[39]
245,0,20077,[14]
246,0,20278,[5]
247,0,20336,[36]
248,0,20373,[34]
249,0,20457,[12]
250,0,20544,[42]
251,0,20613,[8]
252,0,20822,[35]
253,0,20840,[17]
254,0,20852,[46]
255,0,20971,[33]
256,0,21043,[33]
257,0,21134,[34]
258,0,21149,[47]
259,0,21236,[2]
260,0,21266,[39]
261,0,21343,[1]
262,0,21396,[4]
263,0,21425,[12]
264,0,21562,[40]
265,0,21709,[14]
266,0,21836,[28]
267,0,21856,[9]
268,0,21947,[34]
269,0,22095,[16]
270,0,22134,[24]
271,0,22216,[4]
272,0,22272,[38]
273,0,22359,[40]
274,0,22542,[10]
275,0,22641,[28]
276,0,22790,[47]
277,0,22924,[38]
278,0,23032,[0]
279,0,23207,[47]
280,0,23330,[0]
281,0,23365,[45]
282,0,23409,[33]
283,0,23489,[0]
284,0,23544,[3]
285,0,23709,[46]
286,0,23742,[42]
287,0,23830,[38]
288,0,23849,[18]
289,0,23896,[12]
290,0,23973,[3]
291,0,24015,[47]
292,0,24120,[23]
293,0,24234,[3]
294,0,24275,[21]
295,0,24365,[28]
296,0,24387,[11]
297,0,24460,[0]
298,0,24495,[35]
299,0,24519,[39]
300,0,24534,[47]
301,0,24776,[42]
302,0,24807,[29]
303,0,24832,[39]
304,0,24915,[17]
305,0,24960,[34]
306,0,25055,[31]
307,0,25087,[10]
308,0,25347,[11]
309,0,25373,[5]
310,0,25474,[45]
311,0,25629,[8]
312,0,25747,[9]
313,0,25787,[16]
314,0,25832,[34]
315,0,25896,[24]
316,0,26008,[41]
317,0,26050,[28]
318,0,26071,[2]
319,0,26190,[0]
320,0,26236,[20]
321,0,26302,[40]
322,0,26418,[37]
323,0,26462,[22]
324,0,26547,[19]
325,0,26565,[34]
326,0,26686,[7]
327,0,26719,[42]
328,0,26810,[34]
329,0,26955,[31]
330,0,27016,[33]
331,0,27048,[42]
332,0,27125,[48]
333,0,27144,[12]
334,0,27246,[31]
335,0,27285,[15]
336,0,27413,[33]
337,0,27478,[29]
338,0,27501,[46]
339,0,27587,[28]
340,0,27745,[9]
341,0,27806,[45]
342,0,27887,[25]
343,0,27949,[3]
344,0,28025,[35]
345,0,28069,[42]
346,0,28163,[31]
347,0,28253,[34]
348,0,28307,[20]
349,0,28352,[34]
350,0,28567,[11]
351,0,28591,[23]
352,0,28614,[20]
353,0,28675,[32]
354,0,28691,[18]
355,0,28712,[21]
356,0,28748,[38]
357,0,29080,[9]
358,0,29117,[31]
359,0,29374,[5]
360,0,29551,[29]
361,0,29640,[17]
362,0,29653,[21]
363,0,29691,[15]
364,0,29760,[21]
365,0,29922,[41]
366,0,30043,[36]
367,0,30291,[6]
368,0,30379,[24]
369,0,30435,[34]
370,0,30456,[46]
371,0,30576,[35]
372,0,30954,[9]
373,0,30978,[42]
374,0,31048,[33]
375,0,31079,[27]
376,0,31118,[28]
377,0,31170,[4]
378,0,31283,[34]
379,0,31330,[15]
380,0,31356,[12]
381,0,31403,[46]
382,0,31464,[40]
383,0,31620,[22]
384,0,31668,[39]
385,0,31745,[44]
386,0,31882,[28]
387,0,31903,[45]
388,0,32011,[39]
389,0,32035,[12]
390,0,32075,[23]
391,0,32149,[20]
392,0,32224,[35]
393,0,32294,[34]
394,0,32354,[13]
395,0,32418,[7]
396,0,32451,[28]
397,0,32494,[35]
398,0,32545,[39]
399,0,32576,[23]
400,0,32618,[20]
401,0,32694,[17]
402,0,32822,[34]
403,0,32862,[39]
404,0,32961,[19]
405,0,33075,[28]
406,0,33098,[14]
407,0,33118,[19]
408,0,33202,[32]
409,0,33224,[21]
410,0,33376,[4]
411,0,33494,[0]
412,0,33546,[17]
413,0,33566,[6]
414,0,33684,[2]
415,0,33820,[28]
416,0,33932,[38]
417,0,33965,[33]
418,0,34070,[38]
419,0,34085,[47]
420,0,34230,[47]
421,0,34334,[17]
422,0,34450,[28]
423,0,34473,[9]
424,0,34576,[38]
425,0,34801,[18]
426,0,34930,[38]
427,0,34943,[41]
428,0,34995,[15]
429,0,35045,[19]
430,0,35069,[28]
431,0,35150,[31]
432,0,35227,[34]
433,0,35371,[34]
434,0,35403,[21]
435,0,35456,[5]
436,0,35553,[4]
437,0,35689,[14]
438,0,35741,[9]
439,0,35825,[24]
440,0,35896,[23]
441,0,35926,[42]
442,0,36190,[8]
443,0,36319,[12]
444,0,36430,[0]
445,0,36486,[40]
446,0,36561,[44]
447,0,36635,[1]
448,0,36682,[45]
449,0,36696,[10]
450,0,36739,[39]
451,0,36755,[1]
452,0,36776,[2]
453,0,36830,[7]
454,0,36937,[33]
455,0,36970,[10]
456,0,37011,[25]
457,0,37131,[28]
458,0,37155,[42]
459,0,37239,[4]
460,0,37252,[41]
461,0,37533,[21]
462,0,37645,[23]
463,0,37686,[35]
464,0,37758,[14]
465,0,37855,[4]
466,0,37911,[16]
467,0,37976,[28]
468,0,37994,[1]
469,0,38012,[13]
470,0,38133,[0]
471,0,38143,[44]
472,0,38338,[33]
473,0,38409,[24]
474,0,38496,[28]
475,0,38521,[12]
476,0,38652,[14]
477,0,38839,[40]
478,0,38876,[19]
479,0,39140,[1]
480,0,39232,[23]
481,0,39270,[2]
482,0,39343,[27]
483,0,39396,[36]
484,0,39489,[10]
485,0,39584,[33]
486,0,39596,[35]
487,0,39670,[33]
488,0,39714,[17]
489,0,39750,[36]
490,0,39801,[14]
491,0,39878,[45]
492,0,39903,[27]
493,0,39939,[24]
494,0,39992,[14]
495,0,40029,[25]
496,0,40078,[39]
497,0,40149,[16]
498,0,40172,[46]
499,0,40199,[27]
500,0,40318,[48]
501,0,40338,[33]
502,0,40584,[36]
503,0,40637,[19]
504,0,40696,[0]
505,0,40901,[48]
506,0,41041,[32]
507,0,41092,[12]
508,0,41172,[11]
509,0,41195,[11]
510,0,41232,[47]
511,0,41251,[37]
512,0,41336,[20]
513,0,41357,[5]
514,0,41457,[15]
515,0,41533,[15]
516,0,41559,[39]
517,0,41634,[2]
518,0,41695,[29]
519,0,41750,[35]
520,0,41827,[25]
521,0,41951,[28]
522,0,41994,[21]
523,0,42039,[1]
524,0,42115,[37]
525,0,42223,[39]
526,0,42270,[33]
527,0,42497,[23]
528,0,42545,[46]
529,0,42612,[34]
530,0,42765,[21]
531,0,42830,[7]
532,0,42910,[45]
533,0,42925,[33]
534,0,42961,[10]
535,0,43000,[0]
536,0,43125,[31]
537,0,43228,[34]
538,0,43246,[2]
539,0,43336,[34]
540,0,43382,[32]
541,0,43519,[11]
542,0,43541,[29]
543,0,43562,[32]
544,0,43654,[38]
545,0,43759,[23]
546,0,43803,[15]
547,0,43877,[21]
548,0,44031,[14]
549,0,44133,[11]
550,0,44159,[15]
551,0,44219,[28]
552,0,44341,[32]
553,0,44407,[0]
554,0,44479,[27]
555,0,44545,[32]
556,0,44564,[47]
557,0,44752,[29]
558,0,44774,[36]
559,0,44879,[45]
560,0,45020,[40]
561,0,45219,[26]
562,0,45328,[46]
563,0,45366,[25]
564,0,45526,[29]
565,0,45631,[28]
566,0,45649,[36]
567,0,45763,[15]
568,0,45792,[46]
569,0,45828,[36]
570,0,45882,[5]
571,0,45926,[25]
572,0,45998,[7]
573,0,46039,[1]
574,0,46087,[0]
575,0,46156,[25]
576,0,46292,[29]
577,0,46461,[2]
578,0,46530,[44]
579,0,46619,[15]
580,0,46759,[48]
581,0,46809,[36]
582,0,46920,[29]
583,0,46945,[27]
584,0,47147,[24]
585,0,47273,[17]
586,0,47409,[14]
587,0,47476,[6]
588,0,47506,[42]
589,0,47592,[48]
